casa_artesania_id,casa_artesania_nombre,municipio_id,nom_mun,gmaps_longitud,gmaps_latitud
293,"Tienda de Artesanías CASART, San Martín de las Pirámides",0,Total de la entidad México,-98.83376,19.70504
162,Casa de Artesanías de Acambay,1,Acambay de Ruíz Castañeda,0.0,0.0
296,Artesanías Nezahualcóyotl ,58,Nezahualcóyotl,-99.00126,19.411
294,"Tienda de Artesanías CASART, Otumba",65,Otumba,-98.7575,19.69985
290,"Tienda de Artesanías CASART, Tenancingo",88,Tenancingo,-99.5851,18.96391
286,"Tienda de Artesanías CASART Texcoco, Casa del Constituyente",99,Texcoco,-98.88052,19.51375
288,"Tienda de Artesanías CASART, Texcoco (Centro Cultural Mexiquense Bicentenario)",99,Texcoco,-98.89807,19.45341
289,"Tienda de Artesanías CASART, Parque de la Ciencia Fundadores",106,Toluca,-99.65517,19.29397
173,Tienda de Artesanías CASART  Aeropuerto Internacional de Toluca,106,Toluca,-99.57096,19.33856
292,"Tienda de Artesanías CASART, Chalco",106,Toluca,-98.8996,19.26339
220,"Tienda de Artesanías CASART, Toluca",106,Toluca,-99.63782,19.28541
287,"Tienda de Artesanías CASART, Museo Torres Bicentenario",106,Toluca,-99.62911,19.28778
174,Casa de Artesanías de Valle de Bravo,110,Valle de Bravo,0.0,0.0
