galeria_id,galeria_nombre,municipio_id,nom_mun,gmaps_longitud,gmaps_latitud
2121,Galería del Centro Regional de Cultura Atizapán de Zaragoza,13,Atizapán de Zaragoza,-99.23544,19.57215
1424,Galeria de Arte del Genoma Mesoamericano,33,Ecatepec de Morelos,-99.05199,19.59686
896,"Galería de la Alianza Francesa, Suc. Interlomas",37,Huixquilucan,-99.26934,19.40277
370,Galería de Arte y Antiguedades Tarentum,37,Huixquilucan,-99.27008,19.40219
278,Recoleta Gouda Art Gallery,37,Huixquilucan,-99.27047,19.40121
1426,Galería Bertozzi,37,Huixquilucan,-99.28156,19.40385
1662,Sala de Exposición Xochipilli,39,Ixtapaluca,-98.88408,19.31729
1630,Galería Leopoldo Flores,42,Ixtlahuaca,-99.75453,19.57291
1438,Galería  Andrés Molina,52,Malinalco,-99.50096,18.95215
1626,"MONOMONO, Galería de Arte y Estudio",54,Metepec,-99.61049,19.25835
1436,Galería Carlos & Albert Metepec,54,Metepec,-99.60572,19.26699
1434,Galería de Arte,54,Metepec,-99.59137,19.2503
1197,Sala de Arte Emma Rizo,57,Naucalpan de Juárez,-99.24713,19.48418
1251,Sala de Arte Javier Barros Sierra,57,Naucalpan de Juárez,-99.24741,19.4844
1057,Casa de Arte y  Galería ÓLEO,57,Naucalpan de Juárez,-99.25021,19.51723
1627,Galería Taquera,58,Nezahualcóyotl,-99.01594,19.40859
1757,Galería José Luis Cuevas,104,Tlalnepantla de Baz,-99.19575,19.53642
2088,"Galería de Arte del Tecnológico de Monterrey, campus Toluca",106,Toluca,-99.70635,19.27001
804,Galería Universitaria Fernando Cano,106,Toluca,-99.65365,19.28586
2112,Galería de arte de la plaza González Arratia,106,Toluca,-99.65783,19.291
1629,Tollocan Galería,106,Toluca,-99.67332,19.28035
1647,Galería Cafetería,106,Toluca,-99.7032,19.27163
881,Galería Arte AIT,106,Toluca,-99.56874,19.33411
1655,Galeria Tatiana H. Rajkov,110,Valle de Bravo,-100.12381,19.1637
472,Victoria Gallery,110,Valle de Bravo,-100.13017,19.18957
1058,Galería Venado Azul,110,Valle de Bravo,-100.12874,19.1898
962,Arthouse Gallery ,110,Valle de Bravo,-100.12841,19.18825
