teatro_id,teatro_nombre,municipio_id,nom_mun,gmaps_longitud,gmaps_latitud
1059,"Foro La Esperanza, Casa del Pueblo",9,Amecameca,-98.77551,19.13211
263,Teatro del Pueblo,14,Atlacomulco,-99.87327,19.79862
751,Teatro Auditorio Humberto Vidal Mendoza,31,Chimalhuacán,-98.98445,19.41804
1040,Centro de Artes José Pablo Moncayo,35,Huehuetoca,-99.21889,19.83381
730,Teatro del Parque Interlomas,37,Huixquilucan,0.0,0.0
700,Foro Cultural Tiempo y Espacio Thaay,51,Lerma,-99.51163,19.28555
697,Teatro Municipal  'Malinalxóchitl',52,Malinalco,-99.49668,18.94976
882,Teatro Metepec,54,Metepec,-99.60486,19.26407
253,Teatro Cuauhtémoc IMSS Naucalpan,57,Naucalpan de Juárez,-99.23062,19.47475
131,Teatro Javier Barros Sierra,57,Naucalpan de Juárez,-99.24844,19.48564
682,Teatro de la Ciudad Bicentenario,57,Naucalpan de Juárez,-99.23389,19.47754
1056,Foro Felipe Villanueva ,57,Naucalpan de Juárez,-99.241,19.4946
956,Soñario Teatro,58,Nezahualcóyotl,-99.02475,19.40748
650,Teatro Centenario,60,Nicolás Romero,-99.31666,19.6231
58,Teatro Juárez,64,El Oro,0.0,0.0
833,Teatro Sor Juana Ines de la Cruz,76,San Mateo Atenco,-99.52782,19.26476
85,Teatro Principal Abundio Gómez,90,Tenango del Valle,-99.59161,19.10403
130,Teatro al Aire Libre El Caracol,94,Tepetlixpa,0.0,0.0
924,Teatro al Aire Libre del Centro Regional de Cultura de Texcoco,99,Texcoco,-98.87975,19.51373
776,Teatro al Aire Libre del Centro Cultural Mexiquense Bicentenario,99,Texcoco,-98.89666,19.45166
767,Teatro Elisa Carrillo,99,Texcoco,-98.89705,19.45206
1032,Teatro Lupita,101,Tianguistenco,-99.4656,19.18659
907,Foro al aire libre Algarabía,104,Tlalnepantla de Baz,-99.19458,19.53686
884,Teatro Centenario,104,Tlalnepantla de Baz,-99.20428,19.53869
905,Teatro Eugenia León	,104,Tlalnepantla de Baz,-99.19303,19.53647
906,Teatro Santa Cecilia,104,Tlalnepantla de Baz,-99.17425,19.55415
265,"Foro teatral Alberto Antonio Salgado Barrientos, Facultad de Humanidades",106,Toluca,-99.67744,19.27968
11,Teatro Morelos,106,Toluca,-99.65924,19.29207
243,Teatro Sor Juana Inés de la Cruz ,106,Toluca,-99.64693,19.28962
264,Teatro Universitario Los Jaguares,106,Toluca,-99.65954,19.28588
340,Teatro Universitario de Cámara Esvón Gamaliel,106,Toluca,0.0,0.0
559,Cine Teatro Tonatiuh,107,Tonatico,-99.67091,18.80196
534,Teatro San Benito Abad,121,Cuautitlán Izcalli,-99.2398,19.6356
